Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packaging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories),Category,Total Water Use,Total Land Use,Cluster,PCA1,PCA2,Food Type
Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,-0.44051715921252627,27.18154678930303,46.14131578947368,52.77195314511112,504.18897717399994,1437.975323523077,932.6052631578947,5.633942969181819,13.524905881074075,12.423165360575759,29.264473684210525,29.10504164062963,36607.42894736842,59196.438502923076,17380.575408477467,Plant-Based,0.0,-0.00867010495548565,0,-0.31287034027813665,0.06510467598544781,Cereals & Grains
Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,-0.4694218965158915,27.18154678930303,46.14131578947368,52.77195314511112,504.18897717399994,1437.975323523077,932.6052631578947,5.633942969181819,13.524905881074075,12.423165360575759,29.264473684210525,29.10504164062963,36607.42894736842,59196.438502923076,17380.575408477467,Plant-Based,0.0,-0.0071758584100512285,0,-0.3319498526875441,0.06925288743368105,Cereals & Grains
Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,-0.4694218965158915,27.18154678930303,46.14131578947368,52.77195314511112,504.18897717399994,1437.975323523077,932.6052631578947,5.633942969181819,13.524905881074075,12.423165360575759,29.264473684210525,29.10504164062963,36607.42894736842,59196.438502923076,17380.575408477467,Plant-Based,0.0,-0.009417228228202807,0,-0.3335247021067656,0.0693872323378418,Cereals & Grains
Oatmeal,0.0,0.0,1.4,0.0,0.1,0.1,0.0,-0.4212473343436162,4.281357225,11.23,8.638461538,183.9115517,371.0769231,482.4,0.945482272,1.907692308,2.897445673,7.6,5.846153846,18786.2,14450.92308,7162.104461,Plant-Based,-0.7272389423955548,-0.416218985403174,0,-0.6920262922111267,-0.6313511719554419,Cereals & Grains
Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,-0.1900094359166949,9.51437873,35.07,49.3943662,609.9837222,3166.760563,2248.4,1.207270754,6.267605634,0.759631036,2.8,3.943661972,49576.3,69825.77465,13449.89148,Plant-Based,0.2223731792089349,-0.4822669727263889,0,-0.43869815569187887,0.2763301485216803,Cereals & Grains
Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,-0.5465011959915319,4.754098361,3.48,20.47058824,80.73770492,347.6470588,59.1,0.628415301,2.705882353,1.202185792,0.88,5.176470588,2754.2,16201.17647,3762.568306,Plant-Based,-0.9049120522830596,-0.48409470990776743,0,-0.8528960076242756,-0.7843493472483621,Root & Tubers
Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,-0.48869172138480155,0.708418891,0.69,7.666666667,504.18897717399994,1437.975323523077,0.0,1.35523614,14.66666667,1.858316222,1.81,20.11111111,0.0,59196.438502923076,17380.575408477467,Plant-Based,-0.36584863153139463,-0.3561814456567694,0,-0.6440263161052687,-0.26823330898011855,Root & Tubers
Cane Sugar,1.2,0.0,0.5,0.0,0.8,0.1,0.0,-0.32489820999906566,4.820512821,16.92,52.77195314511112,176.6666667,1437.975323523077,620.1,0.911680912,13.524905881074075,0.581196581,2.04,29.10504164062963,16438.6,59196.438502923076,4683.361823,Plant-Based,-0.3265353949254699,-0.29232623242521844,0,-0.47935110325824354,-0.257257801736298,Sugars
Beet Sugar,0.0,0.0,0.5,0.2,0.6,0.1,0.0,-0.44051715921252627,1.541310541,5.41,52.77195314511112,62.02279202,1437.975323523077,217.7,0.515669516,13.524905881074075,0.521367521,1.83,29.10504164062963,9493.3,59196.438502923076,2704.643875,Plant-Based,-0.4185438232785338,-0.3033076674016389,0,-0.581023334814147,-0.33049544851536095,Sugars
Other Pulses,0.0,0.0,1.1,0.0,0.1,0.4,0.0,-0.4212473343436162,5.008797654,17.08,7.97758057,504.18897717399994,203.503036,435.7,0.524926686,0.836057917,4.565982405,15.57,7.272302662,22477.4,10498.55208,17380.575408477467,Plant-Based,-0.6291664209818281,-0.3335521446210893,0,-0.6196178088871817,-0.5394716169626884,Legumes & Pulses
